name,price,quantity
"Сырники творожные, 260 г",188,458
"Сырники, 210 г",260,1402
"Сырники, 420 г",510,40
Сырные палочки с клюквенно-брусничным соусом,228,440
Сэндвич «Клаб»,155,620
"Сэндвич «Нежный» с курицей, омлетом и моцареллой",222,4073
Сэндвич прованский с индейкой и пикантным соусом,228,652
Сэндвич ролл «Буррито» с растительным мясом,228,270
Сэндвич ролл «Гавайский» с курицей,208,600
Сэндвич ролл «Полло Тоннато» с курицей,210,552
Сэндвич ролл «Цезарь»,210,8577
Сэндвич ролл с бужениной запеченной,208,1940
Сэндвич ролл с горбушей и яйцом,208,4148
"Сэндвич ролл с горбушей и яйцом, 155 грамм",208,420
Сэндвич ролл с креветкой темпура и соусом Спайс,263,344
Сэндвич ролл с курицей «Тандури»,220,390
"Сэндвич ролл с курицей «Тандури», 190 грамм",220,60
Сэндвич ролл с курицей и соусом «Дор-Блю»,208,3314
"Сэндвич ролл с курицей и соусом «Дор-Блю», 157 грамм",208,200
Сэндвич ролл с курицей и соусом чипотле,206,782
Сэндвич ролл с курицей Том Ям,228,602
"Сэндвич ролл с курицей, вяленой клюквой и арахисом",220,826
"Сэндвич ролл с курицей, кабачком и соусом песто, 185 грамм",210,60
Сэндвич ролл с лососем (кетой),228,2313
Сэндвич ролл с лососем и шпинатом,242,1364
"Сэндвич ролл с омлетом, ветчиной и сыром, 170 грамм",208,220
Сэндвич ролл со свининой «Спайси»,238,180
"Сэндвич с лососем и яичным салатом, кафе",250,0
Сэндвич с форелью.,238,1650
"Сэндвич-ролл «Фалафель» с хумусом и овощами, кафе",200,0
Сэндвич-ролл с куриными стрипсами в тортилье,220,1504
Сэндвич-ролл с курицей «Сациви»,220,390
Тальятелле с курицей в сырном соусе,268,920
Тефтели с картофельным пюре,206,320
Тортилья с сыром и вялеными томатами,228,460
"Угорь жареный в соусе унаги охл., 100 г",398,120
Филе индейки «Гриль» с пастой птитим со шпинатом и овощами,310,1228
Филе куриной грудки запеченное,282,1017
Филе куриной грудки с прованскими травами,218,1276
Филе семги на пару,550,200
Филе семги на пару с овощным гарниром,418,620
Филе трески с картофельно-тыквенным пюре,296,220
"Филе трески с картофельно-тыквенным пюре, 260 грамм",296,40
Филе форели на пару,530,220
Фрикадельки из филе минтая с брокколи,268,220
Фунчоза с курицей и овощами в сладком соусе чили,198,380
Хачапури по-мегрельски,203,147
"Хачапури по-мегрельски, зам., 450 г",398,281
Хачапури с сыром,162,350
Холодец говядина-курица,262,460
Холодец говяжий,271,886
Холодец говяжий 700г,508,300
Холодец из говядины и свинины,248,401
Хумус «Иерусалимский»,188,788
Хумус классический,176,1130
Хумус с вялеными помидорами,206,2334
Хумус с кедровыми орешками,206,2166
Цветная капуста в панировке,188,300
Чебуреки с мясом,195,220
"Чебуреки с мясом, 240 г",330,1242
Чебуреки с сыром и картофелем,176,220
"Чебуреки с сыром, 140 г",205,360
"Чебуреки-мини с мясом, 160 г",198,400
"Чиабатта ржаная с индейкой и соусом песто, кафе",220,0
